index,State,Rank,Make,Make/Model,Model Year,Thefts
0,Alabama,1,Chevrolet,Chevrolet Pickup (Full Size),2005,499
1,Alabama,2,Ford,Ford Pickup (Full Size),2006,357
2,Alabama,3,Toyota,Toyota Camry,2014,205
3,Alabama,4,Nissan,Nissan Altima,2014,191
4,Alabama,4,Chevrolet,Chevrolet Impala,2004,191
5,Alabama,5,Honda,Honda Accord,1998,180
6,Alabama,6,GMC,GMC Pickup (Full Size),1999,152
7,Alabama,7,Dodge,Dodge Pickup (Full Size),1998,138
8,Alabama,8,Ford,Ford Mustang,2002,122
9,Alabama,9,Ford,Ford Explorer,2002,119
10,Alaska,1,Chevrolet,Chevrolet Pickup (Full Size),2003,147
11,Alaska,2,Ford,Ford Pickup (Full Size),2004,95
12,Alaska,3,GMC,GMC Pickup (Full Size),1997,58
13,Alaska,4,Honda,Honda Civic,2000,56
14,Alaska,5,Honda,Honda Accord,1993,46
15,Alaska,6,Dodge,Dodge Pickup (Full Size),1998,44
16,Alaska,7,Ford,Ford Explorer,1994,31
17,Alaska,8,Jeep,Jeep Cherokee/Grand Cherokee,1999,28
18,Alaska,9,Ford,Ford Pickup (Small Size),2000,22
19,Alaska,10,Chevrolet,Chevrolet Pickup (Small Size),1998,20
20,Arizona,1,Honda,Honda Accord,1997,"1,072"
21,Arizona,2,Honda,Honda Civic,1998,"1,016"
22,Arizona,3,Chevrolet,Chevrolet Pickup (Full Size),2004,850
23,Arizona,4,Ford,Ford Pickup (Full Size),2006,772
24,Arizona,5,Dodge,Dodge Pickup (Full Size),2001,428
25,Arizona,6,Nissan,Nissan Altima,2015,269
26,Arizona,7,GMC,GMC Pickup (Full Size),2015,246
27,Arizona,8,Toyota,Toyota Camry,1999,210
28,Arizona,9,Jeep,Jeep Cherokee/Grand Cherokee,1994,207
29,Arizona,10,Nissan,Nissan Sentra,2014,200
30,Arkansas,1,Chevrolet,Chevrolet Pickup (Full Size),2004,402
31,Arkansas,2,Ford,Ford Pickup (Full Size),2008,252
32,Arkansas,3,GMC,GMC Pickup (Full Size),1997,174
33,Arkansas,4,Dodge,Dodge Pickup (Full Size),1999,127
34,Arkansas,5,Honda,Honda Accord,1997,122
35,Arkansas,6,Nissan,Nissan Altima,2015,89
36,Arkansas,7,Toyota,Toyota Camry,2013,82
37,Arkansas,8,Chevrolet,Chevrolet Impala,2012,76
38,Arkansas,9,Chevrolet,Chevrolet Malibu,2006,72
